Country,Count,Latitude,Longitude
United States,26906,-25.274398,133.775136
Canada,1390,56.130366,-106.346771
United Kingdom,516,-35.675147,-71.542969
Australia,514,49.817492,15.472962
Germany,133,61.92411,25.748151
Netherlands,75,46.227638,2.213749
New Zealand,45,51.165691,10.451526
France,31,22.3193039,114.1693611
Singapore,28,47.162494,19.503304
Italy,22,41.87194,12.56738
Switzerland,17,36.204824,138.252924
Puerto Rico,17,49.815273,6.129583
Sweden,15,52.132633,5.291266
Japan,13,-40.900557,174.885971
Hungary,8,12.879721,121.774017
Czech Republic,8,51.919438,19.145136
Poland,7,39.399872,-8.224454
Portugal,6,18.220833,-66.590149
Hong Kong,4,1.352083,103.819836
Finland,4,60.128161,18.643501
Chile,4,46.818188,8.227512
Luxembourg,2,54.7877149,-6.4923145
Philippines,2,37.09024,-95.712891
